Region_Index,Region_Name,Hemisphere,Region_Type
1,V1,L,Cortex
2,MST,L,Cortex
3,V6,L,Cortex
4,V2,L,Cortex
5,V3,L,Cortex
6,V4,L,Cortex
7,V8,L,Cortex
8,4,L,Cortex
9,3b,L,Cortex
10,FEF,L,Cortex
11,PEF,L,Cortex
12,55b,L,Cortex
13,V3A,L,Cortex
14,RSC,L,Cortex
15,POS2,L,Cortex
16,V7,L,Cortex
17,IPS1,L,Cortex
18,FFC,L,Cortex
19,V3B,L,Cortex
20,LO1,L,Cortex
21,LO2,L,Cortex
22,PIT,L,Cortex
23,MT,L,Cortex
24,A1,L,Cortex
25,PSL,L,Cortex
26,SFL,L,Cortex
27,PCV,L,Cortex
28,STV,L,Cortex
29,7Pm,L,Cortex
30,7m,L,Cortex
31,POS1,L,Cortex
32,23d,L,Cortex
33,v23ab,L,Cortex
34,d23ab,L,Cortex
35,31pv,L,Cortex
36,5m,L,Cortex
37,5mv,L,Cortex
38,23c,L,Cortex
39,5L,L,Cortex
40,24dd,L,Cortex
41,24dv,L,Cortex
42,7AL,L,Cortex
43,SCEF,L,Cortex
44,6ma,L,Cortex
45,7Am,L,Cortex
46,7Pl,L,Cortex
47,7PC,L,Cortex
48,LIPv,L,Cortex
49,VIP,L,Cortex
50,MIP,L,Cortex
51,1,L,Cortex
52,2,L,Cortex
53,3a,L,Cortex
54,6d,L,Cortex
55,6mp,L,Cortex
56,6v,L,Cortex
57,p24pr,L,Cortex
58,33pr,L,Cortex
59,a24pr,L,Cortex
60,p32pr,L,Cortex
61,a24,L,Cortex
62,d32,L,Cortex
63,8BM,L,Cortex
64,p32,L,Cortex
65,10r,L,Cortex
66,47m,L,Cortex
67,8Av,L,Cortex
68,8Ad,L,Cortex
69,9m,L,Cortex
70,8BL,L,Cortex
71,9p,L,Cortex
72,10d,L,Cortex
73,8C,L,Cortex
74,44,L,Cortex
75,45,L,Cortex
76,47l,L,Cortex
77,a47r,L,Cortex
78,6r,L,Cortex
79,IFJa,L,Cortex
80,IFJp,L,Cortex
81,IFSp,L,Cortex
82,IFSa,L,Cortex
83,"p9-
46v",L,Cortex
84,46,L,Cortex
85,"a9-
46v",L,Cortex
86,9-46d,L,Cortex
87,9a,L,Cortex
88,10v,L,Cortex
89,a10p,L,Cortex
90,10pp,L,Cortex
91,11l,L,Cortex
92,13l,L,Cortex
93,OFC,L,Cortex
94,47s,L,Cortex
95,LIPd,L,Cortex
96,6a,L,Cortex
97,i6-8,L,Cortex
98,s6-8,L,Cortex
99,43,L,Cortex
100,OP4,L,Cortex
101,OP1,L,Cortex
102,OP2-3,L,Cortex
103,52,L,Cortex
104,RI,L,Cortex
105,PFcm,L,Cortex
106,PoI2,L,Cortex
107,TA2,L,Cortex
108,FOP4,L,Cortex
109,MI,L,Cortex
110,Pir,L,Cortex
111,AVI,L,Cortex
112,AAIC,L,Cortex
113,FOP1,L,Cortex
114,FOP3,L,Cortex
115,FOP2,L,Cortex
116,PFt,L,Cortex
117,AIP,L,Cortex
118,EC,L,Cortex
119,PreS,L,Cortex
120,H,L,Cortex
121,ProS,L,Cortex
122,PeEc,L,Cortex
123,STGa,L,Cortex
124,PBelt,L,Cortex
125,A5,L,Cortex
126,PHA1,L,Cortex
127,PHA3,L,Cortex
128,STSda,L,Cortex
129,STSdp,L,Cortex
130,STSvp,L,Cortex
131,TGd,L,Cortex
132,TE1a,L,Cortex
133,TE1p,L,Cortex
134,TE2a,L,Cortex
135,TF,L,Cortex
136,TE2p,L,Cortex
137,PHT,L,Cortex
138,PH,L,Cortex
139,TPOJ1,L,Cortex
140,TPOJ2,L,Cortex
141,TPOJ3,L,Cortex
142,DVT,L,Cortex
143,PGp,L,Cortex
144,IP2,L,Cortex
145,IP1,L,Cortex
146,IP0,L,Cortex
147,PFop,L,Cortex
148,PF,L,Cortex
149,PFm,L,Cortex
150,PGi,L,Cortex
151,PGs,L,Cortex
152,V6A,L,Cortex
153,VMV1,L,Cortex
154,VMV3,L,Cortex
155,PHA2,L,Cortex
156,V4t,L,Cortex
157,FST,L,Cortex
158,V3CD,L,Cortex
159,LO3,L,Cortex
160,VMV2,L,Cortex
161,31pd,L,Cortex
162,31a,L,Cortex
163,VVC,L,Cortex
164,25,L,Cortex
165,s32,L,Cortex
166,pOFC,L,Cortex
167,PoI1,L,Cortex
168,Ig,L,Cortex
169,FOP5,L,Cortex
170,p10p,L,Cortex
171,p47r,L,Cortex
172,TGv,L,Cortex
173,MBelt,L,Cortex
174,LBelt,L,Cortex
175,A4,L,Cortex
176,STSva,L,Cortex
177,TE1m,L,Cortex
178,PI,L,Cortex
179,a32pr,L,Cortex
180,p24,L,Cortex
181,striatum_1,L,Subcortex
182,striatum_2,L,Subcortex
183,striatum_3,L,Subcortex
184,thalamus_1,L,Subcortex
185,thalamus_2,L,Subcortex
186,thalamus_3,L,Subcortex
187,thalamus_4,L,Subcortex
188,thalamus_5,L,Subcortex
189,thalamus_6,L,Subcortex
190,thalamus_7,L,Subcortex
191,V1,R,Cortex
192,MST,R,Cortex
193,V6,R,Cortex
194,V2,R,Cortex
195,V3,R,Cortex
196,V4,R,Cortex
197,V8,R,Cortex
198,4,R,Cortex
199,3b,R,Cortex
200,FEF,R,Cortex
201,PEF,R,Cortex
202,55b,R,Cortex
203,V3A,R,Cortex
204,RSC,R,Cortex
205,POS2,R,Cortex
206,V7,R,Cortex
207,IPS1,R,Cortex
208,FFC,R,Cortex
209,V3B,R,Cortex
210,LO1,R,Cortex
211,LO2,R,Cortex
212,PIT,R,Cortex
213,MT,R,Cortex
214,A1,R,Cortex
215,PSL,R,Cortex
216,SFL,R,Cortex
217,PCV,R,Cortex
218,STV,R,Cortex
219,7Pm,R,Cortex
220,7m,R,Cortex
221,POS1,R,Cortex
222,23d,R,Cortex
223,v23ab,R,Cortex
224,d23ab,R,Cortex
225,31pv,R,Cortex
226,5m,R,Cortex
227,5mv,R,Cortex
228,23c,R,Cortex
229,5L,R,Cortex
230,24dd,R,Cortex
231,24dv,R,Cortex
232,7AL,R,Cortex
233,SCEF,R,Cortex
234,6ma,R,Cortex
235,7Am,R,Cortex
236,7Pl,R,Cortex
237,7PC,R,Cortex
238,LIPv,R,Cortex
239,VIP,R,Cortex
240,MIP,R,Cortex
241,1,R,Cortex
242,2,R,Cortex
243,3a,R,Cortex
244,6d,R,Cortex
245,6mp,R,Cortex
246,6v,R,Cortex
247,p24pr,R,Cortex
248,33pr,R,Cortex
249,a24pr,R,Cortex
250,p32pr,R,Cortex
251,a24,R,Cortex
252,d32,R,Cortex
253,8BM,R,Cortex
254,p32,R,Cortex
255,10r,R,Cortex
256,47m,R,Cortex
257,8Av,R,Cortex
258,8Ad,R,Cortex
259,9m,R,Cortex
260,8BL,R,Cortex
261,9p,R,Cortex
262,10d,R,Cortex
263,8C,R,Cortex
264,44,R,Cortex
265,45,R,Cortex
266,47l,R,Cortex
267,a47r,R,Cortex
268,6r,R,Cortex
269,IFJa,R,Cortex
270,IFJp,R,Cortex
271,IFSp,R,Cortex
272,IFSa,R,Cortex
273,"p9-
46v",R,Cortex
274,46,R,Cortex
275,"a9-
46v",R,Cortex
276,9-46d,R,Cortex
277,9a,R,Cortex
278,10v,R,Cortex
279,a10p,R,Cortex
280,10pp,R,Cortex
281,11l,R,Cortex
282,13l,R,Cortex
283,OFC,R,Cortex
284,47s,R,Cortex
285,LIPd,R,Cortex
286,6a,R,Cortex
287,i6-8,R,Cortex
288,s6-8,R,Cortex
289,43,R,Cortex
290,OP4,R,Cortex
291,OP1,R,Cortex
292,OP2-3,R,Cortex
293,52,R,Cortex
294,RI,R,Cortex
295,PFcm,R,Cortex
296,PoI2,R,Cortex
297,TA2,R,Cortex
298,FOP4,R,Cortex
299,MI,R,Cortex
300,Pir,R,Cortex
301,AVI,R,Cortex
302,AAIC,R,Cortex
303,FOP1,R,Cortex
304,FOP3,R,Cortex
305,FOP2,R,Cortex
306,PFt,R,Cortex
307,AIP,R,Cortex
308,EC,R,Cortex
309,PreS,R,Cortex
310,H,R,Cortex
311,ProS,R,Cortex
312,PeEc,R,Cortex
313,STGa,R,Cortex
314,PBelt,R,Cortex
315,A5,R,Cortex
316,PHA1,R,Cortex
317,PHA3,R,Cortex
318,STSda,R,Cortex
319,STSdp,R,Cortex
320,STSvp,R,Cortex
321,TGd,R,Cortex
322,TE1a,R,Cortex
323,TE1p,R,Cortex
324,TE2a,R,Cortex
325,TF,R,Cortex
326,TE2p,R,Cortex
327,PHT,R,Cortex
328,PH,R,Cortex
329,TPOJ1,R,Cortex
330,TPOJ2,R,Cortex
331,TPOJ3,R,Cortex
332,DVT,R,Cortex
333,PGp,R,Cortex
334,IP2,R,Cortex
335,IP1,R,Cortex
336,IP0,R,Cortex
337,PFop,R,Cortex
338,PF,R,Cortex
339,PFm,R,Cortex
340,PGi,R,Cortex
341,PGs,R,Cortex
342,V6A,R,Cortex
343,VMV1,R,Cortex
344,VMV3,R,Cortex
345,PHA2,R,Cortex
346,V4t,R,Cortex
347,FST,R,Cortex
348,V3CD,R,Cortex
349,LO3,R,Cortex
350,VMV2,R,Cortex
351,31pd,R,Cortex
352,31a,R,Cortex
353,VVC,R,Cortex
354,25,R,Cortex
355,s32,R,Cortex
356,pOFC,R,Cortex
357,PoI1,R,Cortex
358,Ig,R,Cortex
359,FOP5,R,Cortex
360,p10p,R,Cortex
361,p47r,R,Cortex
362,TGv,R,Cortex
363,MBelt,R,Cortex
364,LBelt,R,Cortex
365,A4,R,Cortex
366,STSva,R,Cortex
367,TE1m,R,Cortex
368,PI,R,Cortex
369,a32pr,R,Cortex
370,p24,R,Cortex
371,striatum_1,R,Subcortex
372,striatum_2,R,Subcortex
373,striatum_3,R,Subcortex
374,thalamus_1,R,Subcortex
375,thalamus_2,R,Subcortex
376,thalamus_3,R,Subcortex
377,thalamus_4,R,Subcortex
378,thalamus_5,R,Subcortex
379,thalamus_6,R,Subcortex
380,thalamus_7,R,Subcortex